,pdx,pdy,nan,nan1
0,,,-11.356342,-4.8124313
1,,,-11.356249,-4.808907
2,,,-11.355975,-4.806336
3,,,-11.355636,-4.8044515
4,,,-11.35529,-4.803065
5,,,-11.354973,-4.802039
6,,,-11.354697,-4.8012776
7,,,-11.354466,-4.8007073
8,,,-11.354276,-4.8002777
9,,,-11.354121,-4.7999387
10,,,-11.353996,-4.799682
11,,,-11.353895,-4.7994876
12,,,-11.353818,-4.7993402
13,,,-11.353757,-4.799228
14,,,-11.353711,-4.7991433
15,,,-11.353676,-4.799079
16,,,-11.35365,-4.7990294
17,,,-11.353631,-4.798992
18,,,-11.353618,-4.798964
19,,,-11.353608,-4.7989426
0,,,-12.581299,-5.1961637
1,,,-12.58121,-5.1924124
2,,,-12.580931,-5.1896744
3,,,-12.580578,-5.187668
4,,,-12.580221,-5.1861906
5,,,-12.579889,-5.185098
6,,,-12.579602,-5.184285
7,,,-12.57936,-5.1836753
8,,,-12.579157,-5.1831956
9,,,-12.578989,-5.1828327
10,,,-12.578856,-5.182562
11,,,-12.578754,-5.1823606
12,,,-12.578676,-5.182211
13,,,-12.578617,-5.182099
14,,,-12.578572,-5.182016
15,,,-12.578541,-5.181953
16,,,-12.578518,-5.181907
17,,,-12.578503,-5.1818748
18,,,-12.578494,-5.1818504
19,,,-12.578487,-5.181832
0,,,-13.882317,-5.5903225
1,,,-13.882201,-5.586388
2,,,-13.881888,-5.583518
3,,,-13.881505,-5.581416
4,,,-13.881117,-5.5798693
5,,,-13.880761,-5.5787253
6,,,-13.880452,-5.577873
7,,,-13.880187,-5.577215
8,,,-13.879963,-5.576711
9,,,-13.879779,-5.5763316
10,,,-13.87963,-5.576045
11,,,-13.879512,-5.5758286
12,,,-13.879421,-5.5756683
13,,,-13.879353,-5.575549
14,,,-13.879302,-5.57546
15,,,-13.879264,-5.575394
16,,,-13.879236,-5.5753446
17,,,-13.879217,-5.575307
18,,,-13.879204,-5.575279
19,,,-13.879197,-5.57526
0,,,-15.266209,-6.021302
1,,,-15.26611,-6.017102
2,,,-15.265797,-6.0140376
3,,,-15.265401,-6.011792
4,,,-15.264997,-6.0101395
5,,,-15.264623,-6.0089173
6,,,-15.264298,-6.0080094
7,,,-15.264027,-6.0073304
8,,,-15.2638035,-6.00682
9,,,-15.263621,-6.0064173
10,,,-15.263473,-6.0061116
11,,,-15.263355,-6.00588
12,,,-15.263264,-6.005704
13,,,-15.263193,-6.005571
14,,,-15.263138,-6.0054693
15,,,-15.263097,-6.0053926
16,,,-15.263066,-6.005334
17,,,-15.263042,-6.0052886
18,,,-15.263027,-6.0052543
19,,,-15.263016,-6.005229
0,,,-16.710268,-6.4568686
1,,,-16.710104,-6.4524913
2,,,-16.709728,-6.4492984
3,,,-16.709278,-6.446959
4,,,-16.708828,-6.4452376
5,,,-16.70842,-6.443965
6,,,-16.708065,-6.443017
7,,,-16.707764,-6.442295
8,,,-16.707512,-6.441735
9,,,-16.707306,-6.441312
10,,,-16.707138,-6.4409933
11,,,-16.70701,-6.440756
12,,,-16.70691,-6.4405794
13,,,-16.706835,-6.4404483
14,,,-16.70678,-6.44035
15,,,-16.70674,-6.4402766
16,,,-16.706709,-6.4402223
17,,,-16.70669,-6.4401813
18,,,-16.706676,-6.440153
19,,,-16.706669,-6.4401317
0,,,-18.22643,-6.924587
1,,,-18.2263,-6.9199967
2,,,-18.225935,-6.9166474
3,,,-18.225483,-6.9141927
4,,,-18.225029,-6.9123855
5,,,-18.224611,-6.911049
6,,,-18.224249,-6.910055
7,,,-18.223946,-6.9093113
8,,,-18.223694,-6.9087405
9,,,-18.223488,-6.908297
10,,,-18.223322,-6.907962
11,,,-18.22319,-6.907709
12,,,-18.223091,-6.9075217
13,,,-18.223017,-6.907381
14,,,-18.222961,-6.9072766
15,,,-18.22292,-6.9071984
16,,,-18.22289,-6.90714
17,,,-18.222868,-6.9070954
18,,,-18.222855,-6.907063
19,,,-18.222847,-6.9070406
0,,,-19.791134,-7.412492
1,,,-19.790955,-7.4076576
2,,,-19.790545,-7.404131
3,,,-19.790054,-7.4015465
4,,,-19.789566,-7.3996444
5,,,-19.78912,-7.3982377
6,,,-19.788733,-7.3971906
7,,,-19.78841,-7.3964076
8,,,-19.788141,-7.3957925
9,,,-19.78792,-7.3953257
10,,,-19.78774,-7.3949733
11,,,-19.787601,-7.39471
12,,,-19.787497,-7.394514
13,,,-19.787416,-7.3943686
14,,,-19.787357,-7.3942595
15,,,-19.787315,-7.394178
16,,,-19.787283,-7.394117
